#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
KO|MAZI|37.4593|40.4465|1204.0|Mazidagi, Mardin, Turkiye|2009-06-29T00:00:00|
KO|TOKT|40.3173|36.5443|726.0|Tokat, Turkiye|2000-07-06T00:00:00|
KO|GULF|40.914|35.879|1050.0|Ladik, Samsun, Turkiye|2013-12-05T00:00:00|2015-06-29T00:00:00
KO|BASM|37.9194|30.035|897.0|Basmakci, Afyonkarahisar, Turkiye|2013-11-21T00:00:00|
KO|KVT|41.0807|36.0463|649.0|Kavak, Samsun, Turkiye|2001-03-16T00:00:00|
KO|SINP|41.9824|35.0956|100.0|Sinop, Turkiye|2012-03-01T00:00:00|
KO|PRSB|41.1044|37.7753|100.0|Persembe, Ordu, Turkiye|2012-03-22T00:00:00|2018-04-12T00:00:00
KO|ELL|36.7483|29.9085|1230.0|Elmali, Antalya, Turkiye|2001-11-27T00:00:00|
KO|KRTD|36.5934|35.4157|47.0|Karatas Adana, Turkiye|2011-07-28T00:00:00|2016-09-27T00:00:00
KO|BALB|39.6507|27.8642|266.0|Balikesir, Turkiye|2001-10-11T00:00:00|
KO|KOZT|37.4795|35.8264|381.0|Kozan, Adana, Turkiye|2005-08-25T00:00:00|
KO|BODT|37.0622|27.3103|379.0|Yakakoy, Bodrum, Mugla, Turkiye|2005-02-14T00:00:00|
KO|KCTX|40.2626|28.3353|445.0|Karacabey, Bursa, Turkiye|1998-10-20T00:00:00|
KO|URFA|37.4409|38.8213|938.0|Sanliurfa, Turkiye|2004-12-02T00:00:00|
KO|BCA|41.445|41.6223|500.0|Borcka, Artvin, Turkiye|2004-05-03T00:00:00|
KO|DYBB|37.9532|40.1393|657.0|Kayapinar, Diyarbakir, Turkiye|2009-12-10T00:00:00|
KO|LMOS|36.6021|32.6962|1430.0|Esentepe, Goktepe, Karaman, Turkiye|2022-10-04T00:00:00|
KO|DOGC|41.3949|26.9852|81.0|Doganca, Pehlivankoy, Kirklareli, Turkiye|2022-07-01T00:00:00|
KO|YESY|37.7825|33.7431|1206.0|Yesilyurt, Karapinar, Konya, Turkiye|2009-06-19T00:00:00|
KO|KAVV|41.0638|29.06|138.0|KOERI, Uskudar, Istanbul, Turkiye|2009-10-27T00:00:00|
KO|SAUV|40.7401|30.3271|170.0|Sakarya University, Sakarya, Turkiye|2012-02-07T00:00:00|
KO|TKR|40.9893|27.5351|140.0|Tekirdag, Turkiye|2004-06-11T00:00:00|
KO|KUPE|40.8766|36.0489|1050.0|Kupecik, Ladik, Samsun, Turkiye|2013-12-06T00:00:00|2016-01-25T00:00:00
KO|KOUK|40.6572|29.1918|1.0|Koru, Cinarcik, Yalova, Turkiye|2021-06-20T00:00:00|
KO|DENT|37.7539|29.0331|621.0|Denizli, Turkiye|2002-06-20T00:00:00|2014-05-08T00:00:00
KO|SVSK|39.9157|36.9925|1630.0|Sivas, Turkiye|2003-08-27T00:00:00|
KO|ILIC|39.4518|38.5675|1295.0|Ilic, Erzincan, Turkiye|2008-12-25T00:00:00|2023-06-12T00:00:00
KO|GURO|38.5509|42.0322|1388.0|Guroymak, Bitlis, Turkiye|2011-10-25T00:00:00|
KO|KMRS|37.5087|36.9|590.0|Kahramanmaras, Turkiye|2006-08-30T00:00:00|
KO|RSDY|40.3971|37.3273|550.0|Resadiye, Tokat, Turkiye|2007-06-13T00:00:00|
KO|KRBG|40.3932|27.2977|79.0|Karabiga, Biga, Canakkale, Turkiye|2008-06-27T00:00:00|
KO|DST|39.6041|28.6267|693.0|Dursunbey, Balikesir, Turkiye|2000-07-06T00:00:00|
KO|DAT|36.7308|27.5767|1100.0|Datca, Mugla, Turkiye|2005-10-08T00:00:00|
KO|YARM|40.9231|35.8266|1050.0|Ladik, Samsun, Turkiye|2013-12-06T00:00:00|2021-05-30T00:00:00
KO|GELI|40.398|26.4742|126.0|Gelibolu, Canakkale, Turkiye|2008-07-04T00:00:00|
